GenusSpecies,MinWidth,MaxWidth,MinLength,MaxLength,SizeUnit,MinVolume,MaxVolume,VolumeUnit,MinMass,MaxMass,MassUnit,Shape,Sources,Phylum,Notes,
Thermoanaerobacter mathranii,0.7,0.7,1.8,3.9,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1235,
Thermoanaerobacter siderophilus,0.4,0.6,3.5,9,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1236,
Thermoanaerobacterium thermosulfurigenes,0.5,2,2,20,um,,,,,,,rod,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,firmucutes,pg.1283,
Bacillus infernus,0.7,0.8,4,8,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.106",firmucutes,,
Sulfobacillus thermotolerans,0.8,1.2,1.5,4.5,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1184",firmucutes,,
Halanaerobium alcaliphilum,0.8,0.8,3.3,5,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1198",firmucutes,pg.1199,
Halanaerobium lacusrosei,0.4,0.6,2,3,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200",firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1200",
Caldanaerobacter subterraneus,0.5,0.7,2,8,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243",firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243",
Lactobacillus paracasei,0.8,1,2,4,um,,,,,,,rod,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.504",firmucutes,pg.504,
Xylella fastidiosa,0.25,0.35,0.9,3.5,um,,,,,,,rod,http://aem.asm.org/content/73/8/2690.full?view=long&pmid=17293518,proteobacteria,,
Profundimonas piezophila,0.5,0.8,4,5,um,,,,,,,rod,http://aem.asm.org/content/80/1/54.full,proteobacteria,,
Psychrobacter muriicola,0.5,1,0.5,2,um,,,,,,,rod,http://cryosol.ru/images/stuff/liza/shcherb-2009.pdf,proteobacteria,Cells are cocci or coccobacilli,
Deferribacter thermophilus,0.3,0.5,1,5,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-2-505,Deferribacteres,,
Persephonella guaymasensis,0.3,0.4,2,4,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,,
Persephonella marina,0.3,0.4,2,4,um,,,,,,,rod,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-4-1349#tab2,Aquificae,,
Synechococcus lividus,,,,,,1.80E-18,1.80E-18,m^3,,,,Spherical,"http://kirschner.med.harvard.edu/files/bionumbers/Nucleic%20acid%20contents,%20observed%20and%20predicted%20burst%20sizes%20for%20a%20range%20of%20algae%20and%20viruses.pdf",cyanobacteria,length info: https://www.researchgate.net/publication/230475979_The_effects_of_some_ecological_factors_on_cell_size_of_the_hot_spring_alga_Synechococcus_lividus_Cyanophyta,
Yersinia enterocolitica,0.5,0.8,1,3,um,,,,,,,rod,http://www.elsevier.es/es-revista-enfermedades-infecciosas-microbiologia-clinica-28-articulo-yersinia-enterocolitica-pathogenesis-virulence-antimicrobial-S0213005X11002655?referer=buscador,proteobacteria,,
Thermosipho japonicus,1,4,10,40,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/24/1/ijs-24-1-102.pdf?expires=1528305850&id=id&accname=guest&checksum=8DC77D535F45C14893CBC3DA8FF46484,Thermotogae,,
Halomonas subglaciescola,0.5,1.1,1.1,56.5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/37/1/ijs-37-1-27.pdf?expires=1526918345&id=id&accname=guest&checksum=BCFA940E8C9D2267ACB4B0C4DE28C1DA,proteobacteria,length vary’s dramatically ,
Pseudoalteromonas antarctica,0.3,0.9,1,3,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/2/ijs-47-2-345.pdf?expires=1526924343&id=id&accname=guest&checksum=FF1A3F36005B016E92C7B9740F808F9A,proteobacteria,,
Shewanella gelidimarina,0.5,0.8,1.5,2.5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/47/4/ijs-47-4-1040.pdf?expires=1526993475&id=id&accname=guest&checksum=C762647EEFD31431F488074CDAC07BB4,proteobacteria,,
Glaciecola punicea,0.2,0.4,1,5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/48/4/ijs-48-4-1213.pdf?expires=1526915961&id=id&accname=guest&checksum=088CF97C1DF83E51FD1BE8ED3B8D2D3D,proteobacteria,,
Microcystis ichthyoblabe,2,3,,,um,,,,,,,Spherical,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/50/2/0500767a.pdf?expires=1526386385&id=id&accname=guest&checksum=D6D463D904C41C12E91EDE3C839CD10D,,"Width is Diameter, shape info: Wiki Microcystis",
Halomonas elongata,0.7,1,2,3,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/51/4/0511457a.pdf?expires=1526917758&id=id&accname=guest&checksum=88E8DCDABD428EA0F6249F0404341F87,proteobacteria,,
Marinithermus hydrothermalis,0.9,1,7.5,9.4,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/1/59.pdf?expires=1526922495&id=id&accname=guest&checksum=E4691D32D2EA9A09BB04138504F6D456,Deinococcus-Thermus,,
Moritella abyssi,0.8,1.2,2,7,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,,
Moritella profunda,0.9,1.2,1.5,5,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/53/2/533.pdf?expires=1526923609&id=id&accname=guest&checksum=0A81172A69073197CC23FFE176BBC42C,proteobacteria,,
Trichormus variabilis,7.4,7.4,12.3,14.8,um,,,,,,,oval,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/55/1/11.pdf?expires=1528306749&id=id&accname=guest&checksum=39CA557801A7F9B24A649DBDEEE3E978,cyanobacteria,https://books.google.co.uk/books?id=yjnLAwAAQBAJ&pg=PA224&lpg=PA224&dq=Trichormus+variabilis+cell+diameter&source=bl&ots=FtYPtDMsnF&sig=BSuUkqm7CJej0h9l2vBuwLrHkJ4&hl=en&sa=X&ved=0ahUKEwjVwteVv4fbAhWJA8AKHeK2CSwQ6AEIXTAM#v=onepage&q=Trichormus%20variabilis%20cell%20diameter&f=false  Anabaena = Trichormus variabilis,
Desulfuromonas michiganensis,0.4,0.5,0.8,1.4,um,,,,,,,rod,http://www.microbiologyresearch.org/docserver/fulltext/ijsem/65/5/1686_ijs000159.pdf?expires=1526902904&id=id&accname=guest&checksum=44CE48144AF9CF34C5D264FA58575AB5,proteobacteria,,
Pseudomonas fluorescens,,,,,,,,,1.2E-12,1.2E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,,
Pseudomonas putida,,,,,,,,,1.9E-12,1.9E-12,g,rod,http://www.pnas.org/content/105/44/16994,proteobacteria,,
Spirulina platensis,10,10,10,100,um,,,,,,,rod,http://www.scielo.br/pdf/cta/v33s1/v33s1a26.pdf,cyanobacteria,"pg.180, or 5-6um as stated in https://www.researchgate.net/publication/259503619_SPIRULINA_PLATENSIS_-_FOOD_FOR_FUTURE_A_REVIEW",
Klebsiella oxytoca,0.3,1,0.6,6,um,,,,,,,rod,http://www.vetbact.org/index.php?artid=156,proteobacteria,,
Mastigocladus laminosus,1.5,2,8,11,mm,,,,,,,rod,https://academic.oup.com/femsle/article/364/15/fnx154/3983256,cyanobacteria,,
Bacillus cereus,1,1.2,3,5,,,,,3.7E-12,3.7E-12,g,rod,"https://academic.oup.com/femsre/article/32/4/579/1813157,http://www.pnas.org/content/105/44/16994 ",firmucutes,,
Desulfotalea arctica,0.7,0.7,1.6,2.7,um,,,,,,,rod,https://bacdive.dsmz.de/search?search=Desulfotalea+arctica&submit=search,proteobacteria,BacDrive meta-Database,
Desulfotalea psychrophila,0.6,0.6,4.5,7.4,um,,,,,,,rod,https://bacdive.dsmz.de/search?search=Desulfotalea+psychrophila&submit=search,proteobacteria,BacDrive meta-Database,
Lactobacillus acidophilus,0.6,0.9,1.5,6,um,,,,,,,rod,https://books.google.co.uk/books?id=0-VqgLiCPFcC&pg=PA500&dq=Lactobacillus+acidophilus+cell+diameter&hl=en&sa=X&ved=0ahUKEwjr5JO5t4rbAhUSe8AKHc_xDKoQ6AEITzAI#v=snippet&q=L.acidophilus%20&f=false,firmucutes,"Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.491",
Psychroflexus torquis,0.4,1.5,0.5,3,um,,,,,,,rod,https://books.google.co.uk/books?id=0kghF7qBE98C&pg=PA258&lpg=PA258&dq=Psychroflexus+torquis+cell+size&source=bl&ots=Rkp9HzNY4S&sig=oi1y7rL_0PSrFXxrPvXfR8KnvhU&hl=en&sa=X&ved=0ahUKEwjggeHa04rbAhVKAsAKHWyXAgw4ChDoAQgtMAE#v=onepage&q=Psychroflexus%20torquis%20cell%20size&f=false,bacteroidetes,pg. 258 of Bergey’s Manual of Systematic Bacteriology Volume 4: The Bacteroidetes,
Pseudothermotoga lettingae,0.5,1,1.5,11,um,,,,,,,rod,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=onepage&q=thermotogaceae%20cell%20size&f=false,Thermotogae,Average size of family Thermotogaceae taken. pg.370,
Deinococcus murrayi,1.2,2,,,um,,,,,,,Spherical,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=snippet&q=Deinococcus%20geothermalis&f=false,Deinococcus-Thermus,Bergey's Manual of Systematic Bacteriology: Volume 1. pg.401,
Colwellia demingiae,0.4,0.6,1.5,4.5,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria,
Colwellia hornerae,0.4,0.8,1.5,3,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria,
Colwellia psychrerythraea,0.5,0.5,2.5,3.5,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria,
Colwellia psychrotropica,0.4,0.8,1.5,3,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,proteobacteria,pg. 454 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria,
Pseudoxanthomonas broegbernensis,0.4,0.6,0.8,2,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,"Could not find size info for genus or species, so info on family: Xanthomonas used; pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria",
Pseudoxanthomonas taiwanensis,0.4,0.6,0.8,2,um,,,,,,,rod,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Xanthomonadaceae&f=false,proteobacteria,pg. 63 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria,
Rubrobacter radiotolerans,0.8,1,1,4,um,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria,
Rubrobacter xylanophilus,0.9,1,1,3,um,,,,,,,rod,https://books.google.co.uk/books?id=66UMS7A2KisC&pg=PA2006&lpg=PA2006&dq=Rubrobacter+xylanophilus+cell+volume&source=bl&ots=_8IUoOsVAb&sig=ISGSN_kQXz9eLGaLTAua_OkTDaI&hl=en&sa=X&ved=0ahUKEwij1MrJ1YrbAhUJXMAKHdoNCm84ChDoAQgvMAE#v=onepage&q=Rubrobacter%20xylanophilus%20cell%20volume&f=false,Actinobacteria,pg. 2008 of Bergey’s Manual of Systematic Bacteriology Volume 5: The Actinobacteria,
Xanthomonas campestris,0.55,0.75,1.35,2.17,um,,,,,,,rod,https://books.google.co.uk/books?id=8A_yBwAAQBAJ&pg=PA191&lpg=PA191&dq=Xanthomonas+campestris+cell+width&source=bl&ots=LCjaeonYF-&sig=cHYPUCF7EAQ6Dq8eV8xlGskcvMA&hl=en&sa=X&ved=0ahUKEwiO6IXQs5nbAhUMthQKHckwA9o4ChDoAQhDMAc#v=onepage&q=Xanthomonas%20campestris%20cell%20width&f=false,proteobacteria,pg.191,
Desulfofrigus fragile,0.8,0.8,3.2,4.2,um,,,,,,,rod,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,proteobacteria,pg.977,
Desulfofrigus oceanense,2.1,2.1,4.2,6.1,um,,,,,,,rod,https://books.google.co.uk/books?id=9cwgo-9IyTUC&pg=PA977&lpg=PA977&dq=Desulfofrigus+oceanense+cell+size&source=bl&ots=lTtbfougYA&sig=4rpA3CrTU5e2uXVWlwzPw1h9H54&hl=en&sa=X&ved=0ahUKEwj46PvYz5bbAhVDxRQKHf4wD-sQ6AEIMzAC#v=onepage&q=Desulfofrigus%20oceanense%20cell%20size&f=false,proteobacteria,pg.977,
Desulfofaba gelida,3.1,3.1,5.4,6.2,um,,,,,,,rod,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA324&dq=Rhizobiales&hl=en&sa=X&ved=0ahUKEwiW9_PajpDbAhXmLcAKHcd4DjgQ6AEIMTAB#v=snippet&q=Desulfofaba%20gelida&f=false,proteobacteria,"large rods, pg. 975 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria",
Bosea eneae,0.5,0.9,1.2,3,um,,,,,,,rod,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA710&lpg=PA710&dq=Hydrogenophaga+pseudoflava+cell+size&source=bl&ots=cYZTDQzGbm&sig=5P5ROil4OvMEgQ_cg2UuXk00Vyc&hl=en&sa=X&ved=0ahUKEwid5Ovxl5DbAhXFB8AKHUlzAkkQ6AEIVDAH#v=onepage&q=Bosea%20eneae&f=false,proteobacteria,"pg. 438,  size info of Family: Bradyrhizobiaceae use",
Streptococcus salivarius,0.7,1,,,um,,,,,,,Spherical,https://books.google.co.uk/books?id=hPjpBwAAQBAJ&pg=PA114&dq=S.+salivarius+cell+diameter&hl=en&sa=X&ved=0ahUKEwjC0pCfkYrbAhXqK8AKHcGIB38Q6AEILDAB#v=onepage&q=S.%20salivarius%20cell%20diameter&f=false,firmucutes,pg. 114 of reference,
Escherichia coli,0.8,0.8,2.5,2.5,,,,,1.2E-12,1.2E-12,g,cylindrical,https://books.google.co.uk/books?id=qyVoI1iUiBkC&pg=PA1&dq=escherichia+coli+cell+size&hl=en&sa=X&ved=0ahUKEwixrsjzmszbAhXKaFAKHcLfCq8Q6AEITjAH#v=onepage&q=escherichia%20coli%20cell%20size&f=false,proteobacteria,,
Microcystis aeruginosa,,,,,,6.5E-17,6.54E-15,m^3,,,,Spherical,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1,cyanobacteria,"Dell, A.I., S. Pawar, V.M. Savage. 2013. The thermal dependence of biological traits. Ecology 94: 1205.",
Lactobacillus delbrueckii,0.5,0.8,2,9,um,,,,,,,rod,https://hal.archives-ouvertes.fr/hal-00929612/document,firmucutes,pg.499,
Isosphaera pallida,2.5,3,,,um,,,,,,,Spherical,https://link.springer.com/article/10.1007/BF00463488,Planctomycetes,,
Desulfobacter curvatus,0.5,1,1.7,3.5,um,,,,,,,rod,https://link.springer.com/content/pdf/10.1007%2FBF00456706.pdf,proteobacteria,,
Meiothermus chliarophilus,0.5,0.8,1.7,10,um,,,,,,,rod,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1574-6968.2002.tb11445.x,Deinococcus-Thermus,Length is variable Cell length based from Meiothermus hypogaeus https://bacdive.dsmz.de/strain/16711,
Thermus thermophilus,0.5,0.5,3,3,um,,,,,,,rod,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118960608.gbm00477.pub2,Deinococcus-Thermus,Genus: Thermus size info,
Lactococcus piscium,0.5,1,,,um,,,,,,,Spherical,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jam.13179,firmucutes,pg.245,
Hydrogenophaga pseudoflava,0.3,0.6,0.6,5.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2812990/,proteobacteria,,
Crocosphaera watsonii,3,5,,,,,,,,,,Spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3215947/,cyanobacteria,,
Aeromonas hydrophila,1,1,3.5,3.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4255052/,proteobacteria,,
Deinococcus geothermalis,1.5,2,,,um,,,,,,,Spherical,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023248/,Deinococcus-Thermus,,
Halomonas campisalis,1,1,3,5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/10794143,proteobacteria,,
Marinitoga piezophila,0.5,0.5,1,1.5,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/12148648,Thermotogae,,
Caldicellulosiruptor obsidiansis,0.2,0.2,2,2,um,,,,,,,rod,https://www.ncbi.nlm.nih.gov/pubmed/20023107,firmucutes,,
Desulforhopalus vacuolatus,1.5,1.8,3,5,um,,,,,,,rod,https://www.researchgate.net/publication/225671825_Desulforpalus_vacuolatus_gen_nov_sp_nov_a_new_moderately_psychrophilic_sulfate-reducing_bacterium_with_gas_vacuoles_isolated_from_a_temperate_estuary,proteobacteria,,
Arthrospira fusiformis,7.3,8.9,113,302,um,,,,,,,rod,https://www.researchgate.net/publication/233502806_Arthrospira_fusiformis_Voronichin_Komarek_et_Lund_Cyanoprokaryota_-_A_new_species_for_Europe,cyanobacteria,,
Aphanizomenon aphanizomenoides,5.5,7,6,7.7,um,,,,,,,oval,https://www.researchgate.net/publication/266673473_Aphanizomenon_favaloroi_spec_nov_Cyanobacteria_Nostocales_a_new_planktic_species_from_Argentina,cyanobacteria,Heterocytes cell size, Another ref: https://books.google.co.uk/books?id=Sc4897dfM_MC&pg=PA94&lpg=PA94&dq=Aphanizomenon+aphanizomenoides+cell+diameter&source=bl&ots=n5bGtiJOIK&sig=SqQmHcagACzx3QwHXBB6BGXhZUE&hl=en&sa=X&ved=0ahUKEwjDlOKJ2IfbAhUUWsAKHZZSDUoQ6AEIKDAA#v=onepage&q=Aphanizomenon%20aphanizomenoides%20cell%20diameter&f=false  
Sphaerospermopsis aphanizomenoides,3.5,4.1,4.4,5.1,um,,,,,,,cylindrical,https://www.researchgate.net/publication/283282292_Morphological_and_ecological_characteristics_of_potentially_toxic_invasive_cyanobacterium_Sphaerospermopsis_aphanizomenoides_Forti_Zapomelova_Jezberova_Hrouzek_Hisem_Rehakova_Komarkova_Nostocales_Cyan,cyanobacteria,"Vegetative cell size; Aphanizomenon aphanizomenoides – Name in Consumer column, avergae length of vegetative cell size",
Sulfurihydrogenibium kristjanssonii,0.5,0.5,1.5,2.5,um,,,,,,,rod,https://www.researchgate.net/publication/5401401_Sulfurihydrogenibium_kristjanssonii_sp_nov_a_hydrogen-_and_sulfur-oxidizing_thermophile_isolated_from_a_terrestrial_Icelandic_hot_spring,Aquificae,,
Marinobacter alkaliphilus,0.3,0.8,2,5,um,,,,,,,rod,https://www.researchgate.net/publication/8388977_Marinobacter_alkaliphilus_sp_nov_a_novel_alkaliphilic_bacterium_isolated_from_subseafloor_alkaline_serpentine_mud_from_Ocean_Drilling_Program_Site_1200_at_South_Chamorro_Seamount_Mariana_Forearc,proteobacteria,,
Anacystis incerta,,,,,,5E-19,1.05E-16,m^3,,,,Spherical,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",cyanobacteria,Saujanya’s phytoplankton data. Average mean cell volume,
Aphanizomenon flosaquae,,,,,,1.96E-15,1.96E-15,m^3,,,,rod,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",cyanobacteria,Saujanya’s phytoplankton data,
